title,genres,release_year,overview,imdb_id,budget,revenue,vote_average,vote_count,release_decade
The Incredible Jessica James,"Romance, Comedy",2017,"Burned by a bad breakup, a struggling New York City playwright makes an unlikely connection with a divorced app designer she meets on a blind date.",tt5990342,0,0.0,6.2,37.0,2010-2019
Dean,Comedy,2017,A freelance illustrator in New York suffers a quarter-life crisis and leaves his home for the west coast.,tt3914332,0,0.0,7.7,6.0,2010-2019
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"Comedy, Thriller, Drama",2017,A financial schemer finds himself in the middle of an international scandal after he becomes a political adviser to the new prime minister of Israel.,tt4191702,0,0.0,5.6,34.0,2010-2019
The Transfiguration,"Horror, Drama",2017,"A New York tale about love, loss… and vampires.",tt5039088,0,0.0,6.1,27.0,2010-2019
Obit,Documentary,2017,"How do you put a life into 500 words? Ask the staff obituary writers at the New York Times. OBIT is a first-ever glimpse into the daily rituals, joys and existential angst of the Times obit writers, as they chronicle life after death on the front lines of history.",tt4820284,0,0.0,5.3,3.0,2010-2019
Resident Evil: Vendetta,"Action, Adventure, Animation, Horror, Mystery, Science Fiction",2017,BSAA Chris Redfield enlists the help of government agent Leon S. Kennedy and Professor Rebecca Chambers from Alexander Institute of Biotechnology to stop a death merchant with a vengeance from spreading a deadly virus in New York.,tt5776208,0,0.0,6.6,160.0,2010-2019
Citizen Jane: Battle for the City,Documentary,2017,Writer and urban activist Jane Jacobs fights to save historic New York City during the ruthless redevelopment era of urban planner Robert Moses in the 1960s.,tt3699354,0,0.0,7.0,2.0,2010-2019
Abacus: Small Enough to Jail,Documentary,2017,"The incredible saga of the Chinese immigrant Sung family, owners of Abacus Federal Savings of Chinatown, New York. Accused of mortgage fraud by Manhattan District Attorney Cyrus R. Vance, Jr., Abacus becomes the only U.S. bank to face criminal charges in the wake of the 2008 financial crisis. The indictment and subsequent trial forces the Sung family to defend themselves – and their bank’s legacy in the Chinatown community – over the course of a five-year legal battle.",tt5952382,0,0.0,8.5,2.0,2010-2019
Kiki,Documentary,2017,"25 years after Paris is Burning, we dive back into the fierce world of voguing battles in the Kiki scene of New York City, where competition between Houses demands leadership, painstaking practice, and performances on point. A film collaboration between Kiki gatekeeper, Twiggy Pucci Garçon, and Swedish filmmaker Sara Jordenö, we’re granted exclusive access into this high stakes world, where tough competitions act as a gateway into the daily lives of LGBTQ youth of color in NYC. The new generation of ballroom youth use the motto, “Not About us Without Us”. Twiggy and Sara’s insider-outsider approach to their stories breathes fresh life into the representation of a marginalized community who demand visibility and real political power.",tt5278598,0,0.0,7.0,4.0,2010-2019
Moonlight in Vermont,"Romance, TV Movie",2017,"After fast-paced New York City high-end real estate broker Fiona Rangely (Lacey Chabert) gets dumped by her boyfriend, she escapes to her family’s quaint Vermont Inn for a few days to slow down and evaluate her life. When her ex-boyfriend Nate shows up at the Inn with a brand new girlfriend, Fiona quickly devises a plan to win him back: pretend the handsome and very laid- back head chef Derek (Carlo Marks) is her new boyfriend! Much to the surprise of Derek --and to Fiona herself-- in pretending to be in love, she realizes that she’s been thrown a curveball: sometimes the best things in life are worth the wait.",tt6587078,0,0.0,7.3,3.0,2010-2019
Vir Das: Abroad Understanding,Comedy,2017,"Comedian Vir Das tackles nationalism, globalism, good food and bad politics in two cleverly crosscut performances in New York and New Delhi.",tt6822400,0,0.0,7.0,5.0,2010-2019
The Meyerowitz Stories,Comedy,2017,An estranged family gathers together in New York for an event celebrating the artistic work of their father.,tt5536736,0,0.0,5.4,6.0,2010-2019
Chronically Metropolitan,"Drama, Comedy",2017,"A cynical and clever coming of age film about first time novelist Fenton Dillane, who, unannounced returns to New York City to confront his family, his ex- girlfriend and a few lingering childhood fears.",tt4460854,0,0.0,5.8,9.0,2010-2019
Pandemic,"Action, Science Fiction, Thriller",2016,"In the near future, a virus of epic proportions has overtaken the planet. There are more infected than uninfected, and humanity is losing its grip on survival. Its only hope is finding a cure and keeping the infected contained. Lauren is a doctor who, after the fall of New York, arrives in Los Angeles to lead the hunt for uncontaminated civilian survivors. But nothing can prepare her crack team for the blood-soaked mayhem they are about to witness as they head into the Californian mean streets where everything is considered a trap… From director John (THE SCRIBBLER) Suits, a boundary-crashing, game-changing science fiction thriller featuring non-stop action from a first person shooter perspective, putting the audience in the middle of every fight whilst feeling in control of every punch thrown and shot fired. Welcome to the new model of immersive action thriller for the hardcore video game generation.",tt3774802,0,0.0,4.3,92.0,2010-2019
Gary Gulman: It's About Time,Comedy,2016,"Netflix presents standup and two-time Last Comic Standing finalist Gary Gulman. Titled It’s About Time, the tour marks Gulman’s 20th year in comedy and stops at the Bowery Ballroom in New York.",tt5661030,0,500.0,7.7,3.0,2010-2019
A Kind of Murder,"Drama, Thriller",2016,"In 1960s New York, Walter Stackhouse is a successful architect married to the beautiful Clara who leads a seemingly perfect life. But his fascination with an unsolved murder leads him into a spiral of chaos as he is forced to play cat-and-mouse with a clever killer and an overambitious detective, while at the same time lusting after another woman.",tt2726552,0,0.0,5.5,74.0,2010-2019
Colin Quinn: The New York Story,Comedy,2016,"The ""SNL"" veteran performs his off-Broadway show about the history of New York and the people who shape its personality.",tt6257714,0,0.0,6.3,3.0,2010-2019
Summer Villa,"Romance, Comedy",2016,"Although a successful romance novelist, Terry Russell hasn't had luck in her own love life. After a disastrous first date with cocky, hot-shot New York chef Matthew Everston, she retreats to her friend's French villa for the summer to finish her latest novel, with her reluctant teenage daughter in tow.",tt5922484,0,0.0,6.2,15.0,2010-2019
Norm of the North,"Adventure, Animation, Comedy, Family",2016,"The stereoscopic 3D animated family film ""Norm"" tells the story of the titular polar bear and his three Arctic lemming buddies, who are forced out into the world once their icy home begins melting and breaking apart. Landing in New York, Norm begins life anew as a performing corporate mascot, only to discover that his new employers are directly responsible for the destruction of his polar home.",tt1594972,18000000,17062499.0,4.1,124.0,2010-2019
Bad Hurt,Drama,2016,"Elaine and Ed Kendall have more than their share of grief and suffering. Once a young couple in love they now struggle for a sense of stability in their Staten Island home. Their eldest son is suffering from the physical and psychological effects of war; his younger brother takes it upon himself to bring him peace and relief. Meanwhile, their special needs daughter brings another kind of chaos to the family. Even though Ed and Elaine explore options for her care, they’re really just hanging on to hope that things improve somehow.",tt3369350,0,0.0,5.4,9.0,2010-2019
Other People,Drama,2016,"David, a struggling comedy writer fresh off from breaking up with his boyfriend, moves from New York City to Sacramento to help his sick mother. Living with his conservative father and much-younger sisters for the first time in ten years, he feels like a stranger in his childhood home. As his mother’s health declines, David frantically tries to extract meaning from this horrible experience and convince everyone (including himself) that he's ""doing okay.”",tt4158876,0,93000.0,6.7,58.0,2010-2019
White Girl,Drama,2016,"Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.",tt4129870,700000,200242.0,5.5,109.0,2010-2019
Barry,Drama,2016,A biopic of Barack Obama set during his time as a college student in New York City.,tt5477566,0,0.0,5.1,47.0,2010-2019
The Hollars,"Comedy, Drama",2016,"Aspiring New York City artist, John Hollar returns to his Middle America hometown on the eve of his mother’s brain surgery. Joined by his girlfriend, eight months pregnant with their first child, John is forced to navigate the crazy world he left behind.",tt3714720,3800000,1016985.0,6.4,81.0,2010-2019
Hurricane Bianca,Comedy,2016,"Hurricane Bianca is a revenge comedy about a New York teacher who moves to a small town in Texas, gets fired for being gay, and returns disguised in drag to get revenge on the people who were nasty to him.",tt4007248,0,0.0,6.3,63.0,2010-2019
At War with Love,"War, Drama, Comedy",2016,"It's 1943 and World War II is raging in Europe. In New York, Arturo and Flora the daughter of a restaurant owner are in love, but she is promised in marriage to the son of a Mafia boss. There is a way around this, but to be able to marry Flora, Arturo needs to get permission from her father, who lives in a village in Sicily. Arturo doesn't have any money, so the only way he can get to Sicily is to enlist in the U.S. Army, which is preparing for a landing on the island.",tt5263116,0,0.0,7.8,116.0,2010-2019
How to Be Single,"Comedy, Romance",2016,"New York City is full of lonely hearts seeking the right match, and what Alice, Robin, Lucy, Meg, Tom and David all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love.",tt1292566,38000000,112343513.0,5.9,1225.0,2010-2019
Michael Ian Black: Noted Expert,Comedy,2016,"Veteran of sketch, television, and film, comedian Michael Ian Black has mastered a delivery that's equal parts dapper and deadpan, whether he's discussing the pro-choice debate or the Tilt-A-Whirl.  Taped at John Jay College in New York City, Black's first comedy special for EPIX includes his wry take on the human experience, from parenting and gender roles, to guilty pleasures of all shapes and sizes.",tt5200506,0,0.0,7.7,3.0,2010-2019
My Mom Is a Character 2,Comedy,2016,"Dona Hermínia is back, but now rich and famous since she is the host of her own successful TV show. However, the overprotective character will have to deal with her children's departures, as Marcelina and Juliano decide to move out. In counterpart, she will welcome, as a visitor, her sister Lúcia Helena, who's been living in New York.",tt3212812,0,0.0,7.8,100.0,2010-2019
Florence Foster Jenkins,"Comedy, Drama",2016,"The story of Florence Foster Jenkins, a New York heiress, who dreamed of becoming an opera singer, despite having a terrible singing voice.",tt4136084,29000000,48902953.0,6.7,409.0,2010-2019
High Strung,"Drama, Music, Romance",2016,"When a hip hop violinist busking in the New York subway encounters a classical dancer on scholarship at the Manhattan Conservatory of the Arts, sparks fly. With the help of a hip hop dance crew they must find a common ground while preparing for a competition that could change their lives forever.",tt3451230,0,53447.0,7.1,256.0,2010-2019
Norman Television,Animation,2016,"Norman, a lost guinea pig, wanders in the pipe through apartments in New York, and his main recreation during his adventure is to see how the apartment residents live - with popcorn and remote controls.",tt6151826,0,0.0,6.3,3.0,2010-2019
